way,node
4018042,2200326891
4018042,25273205
4018042,25207339
4018043,373732187
4018043,2200150980
4018043,25273197
4018043,2200150991
4018043,682347926
4018043,338667206
4018043,25273196
4018043,682294040
4018043,682294053
4018043,682294054
4018044,25554232
4018044,1869409580
4018048,15643084
4018048,2180084695
4018048,2180084692
4018048,15643085
4018050,367934
4018050,1233136959
4018050,94173784
4018050,2180084774
4018050,398767
4018052,21647887
4018052,644154
4018052,2650782901
4018052,15859519
4018052,2650782898
4018052,644153
4018052,644149
4018054,248172008
4018054,2650569890
4018054,361743
4018054,2650569883
4018054,356385450
4018054,644147
4018055,644147
4018055,356385455
4018055,2650569888
4018055,644145
4018055,2650569895
4018055,248172007
4018056,644149
4018056,248171297
4018056,1913215762
4018056,15859520
4018056,248171298
4018056,1913215761
4018056,644150
4018056,248172008
4018056,2606206621
4018056,248172007
4018056,644151
4018056,1913215763
4018056,248171300
4018056,1913215764
4018056,644152
4018056,1913215766
4018056,248171301
4018056,1913215768
4018056,644148
4018056,248171302
4018056,1913215765
4018056,644149
4018057,361045
4018057,2606539079
4018057,2650782920
4018057,921562598
4018057,15859484
4018057,2650782907
4018057,2650782897
4018057,644148
4018058,382052
4018058,1666650611
4018058,15859515
4018059,15859511
4018059,2650782909
4018059,15859518
4018059,2602173279
4018059,2650782906
4018059,2602173276
4018059,15378799
4018060,15859484
4018060,2650782908
4018060,256087994
4018060,15859511
4018060,256087995
4018060,2650782913
4018060,15859512
4018270,15032392
4018270,3000118763
4018270,3000118768
4018270,169164292
4018270,2642174658
4018270,15032393
4018271,15035526
4018271,2474104714
4018271,15035527
4018271,2474104702
4018271,15035529
4018272,15035523
4018272,1836953769
4018272,15035525
4018274,15035529
4018274,721091123
4018274,15035519
4018276,15035521
4018276,721091126
4018276,2474104690
4018276,15035527
4018280,15035512
4018280,556324330
4018280,505820711
4018280,2184319119
4018280,15035525
4018282,15035510
4018282,386594449
4018282,2619999560
4018282,259643000
4018282,2619999555
4018282,15035509
4018284,15035530
4018284,482835126
4018284,2503947141
4018284,15035510
4018286,15035510
4018286,2503947138
4018286,482835127
4018286,15035531
4018290,15035504
4018290,2474104718
4018292,15035503
4018292,2474104686
4018292,2540309515
4018292,2540309513
4018292,15035501
4018292,15035502
4018294,15032404
4018294,15032402
4018294,15032401
4018294,15032405
4018296,15032393
4018296,2474111247
4018296,15032390
4018296,505823577
4018296,2474111246
4018296,15032394
4018296,15032400
4018296,2573654822
4018296,505823576
4018296,259642671
4018296,259642673
4018298,15032394
4018298,2474111245
4018298,15032401
4018300,15032402
4018300,2474111243
4018300,15032400
4018303,366603
4018303,2503947133
4018303,15035500
4018303,366601
4018310,15032392
4018310,341122263
4018310,1805339721
4018310,677776122
4018310,2642174640
4018310,2642174639
4018310,677776132
4018313,15032392
4018313,3000118754
4018313,335614884
4018313,15032388
4018316,15032421
4018316,2833654923
4018316,15032422
4018316,2833654922
4018316,15032425
4018316,2833654924
4018316,15032428
4018316,2833654926
4018316,2833654927
4018316,15032430
4018316,2833654925
4018316,15032421
4018317,15033833
4018317,1528113271
4018317,843308208
4018317,15033830
4018317,1528113277
4018317,15033829
4018317,1528113282
4018317,1528113284
4018317,15033828
4018317,1528113286
4018317,15033825
4018317,2503947128
4018317,15033822
4018319,366603
4018319,2503947136
4018319,15033822
4018319,2503947131
4018319,15033820
4018319,15033819
4018319,2503947125
4018319,341112861
4018347,341104044
4018347,689927359
4018347,341104949
4018347,2710711356
4018347,332491055
4018347,229591580
4018347,229593078
4018352,15435288
4018352,15435286
4018352,15435285
4018352,2209978434
4018352,15435282
4018414,361735
4018414,356385445
4028980,661237
4028980,34909161
4028981,21378249
4028981,2428209971
4028981,2428209977
4028981,127864092
4028985,661234
4028985,2705349701
4028985,21346801
4028986,116135091
4028986,1568010291
4028986,94272532
4028987,21346804
4028987,21346802
4028989,661235
4028989,141569001
4028989,2557088517
4028989,311075068
4028989,21346804
4029619,470184
4029619,666885557
4029619,2705349854
4029619,133129242
4029619,1224778213
4029619,24909773
4038483,661233
4038483,2477903481
4038483,2484772347
4038483,158833621
4038483,2484772350
4038483,2484772354
4038483,36485460
4039025,123526863
4039025,619543024
4039025,1776079248
4039025,15378854
4039028,568195270
4039028,14956550
4039028,14956554
4039028,1419519762
4039028,1837882501
4039028,14956555
4039028,268209067
4039028,1419519766
4039028,14956551
4039028,1419519768
4039028,14956553
4039028,14956552
4039028,568195270
4039029,27288856
4039029,21292446
4039034,361001
4039034,2432724142
4039034,269132145
4039034,358873202
4039034,358873570
4039034,14802823
4039034,415142020
4039034,358874150
4039034,1443262978
4039034,1781353160
4039034,361002
4039061,390041
4039061,1017950103
4039061,368008
4039061,1017950047
4039061,1784416570
4039061,2199846273
4039061,1784416575
4039061,206155654
4039061,1784416579
4039061,206155600
4039061,1784416580
4039061,152805837
4039061,1784416581
4039061,25034606
4039061,1784416582
4039061,1784416583
4039061,368018
4039061,1784416584
4039061,560860385
4039084,15860569
4039084,1558561923
4039087,827009053
4039087,1871320356
4039087,1773530129
4039087,251489933
4039087,1871320342
4039087,2889084805
4039087,2835889304
4039089,411736454
4039089,15860557
4039089,921562484
4039089,15860558
4039091,94142447
4039091,1789062122
4039091,687010892
4039092,398788
4039092,2712550007
4039092,2051848056
4039092,398787
4039097,25581149
4039097,2200326765
4039097,25581217
4039097,1542715878
4039097,398747
4039102,125742
4039102,60912980
4039102,152807827
4039103,130097205
4039103,1983637492
4039103,2704168496
4039103,36489621
4039103,36489622
4039103,36489623
4039103,2704171963
4039103,2704171960
4039103,36489624
4039103,1193505488
4039103,2704171958
4039103,21292968
4039103,2704171957
4039103,49809150
4039103,260353958
